Symbol	Description
AWC	Lindeteves-jacoberg Ltd
AWG	Aei Corporation Ltd
AWI	Thakral Corporation Ltd
AWK	Fuxing China Group Limited
AWM	Shanghai Turbo Enterprises Ltd
AWV	Captii Limited
AWX	Aem Holdings Ltd
AWZ	Multi-chem Limited
AXB	Yongnam Holdings Limited
AYN	Global Testing Corporation Ltd
AYV	Acma Ltd.
AZA	Ipc Corporation Limited
AZG	8telecom Intl Holdings Co Ltd
AZR	United Food Holdings Limited
AZT	Lottvision Limited
B0Z	China Fishery Group Limited
B26	Ban Leong Technologies Limited
B28	Bonvests Holdings Ltd
B49	World Precision Machinery Ltd
B58	Banyan Tree Holdings Limited
B61	Bukit Sembawang Estates Ltd
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B9S	Cosmosteel Holdings Limited
BAC	Jacks International Limited
BAI	S I2i Limited
BAZ	Lion Asiapac Ltd
BBP	Hor Kew Corporation Limited
BBW	Azeus Systems Holdings Ltd.
BCD	China Yuanbang Prop Hldgs Ltd
BCV	Qian Hu Corporation Limited
BCY	Powermatic Data Systems Ltd
BCZ	Travelite Holdings Ltd.
BDA	Pne Industries Ltd
BDR	Willas-array Elec (hldgs) Ltd
BDU	Federal Int(2000) Ltd
BDX	Gsh Corporation Limited
BEC	Brc Asia Limited
BEH	China International Hldgs Ltd
BEI	Lht Holdings Limited
BEV	Swing Media Technology Grp Ltd
BEW	Jb Foods Limited
BEZ	Beng Kuang Marine Limited
BFI	Tiong Seng Holdings Limited
BFK	Pharmesis International Ltd.
BFT	Fabchem China Limited
BFU	Tye Soon Ltd
BGK	Swiber Holdings Limited
BGO	Universal Resource & Svcs Ltd
BHD	China Mining International Ltd
BHK	Siic Environment Holdings Ltd.
BHU	Sutl Enterprise Limited
BIP	Vibrant Group Limited
BIX	Ellipsiz Ltd
BJD	Vibropower Corporation Limited
BJGS	Na16100h 460301
BJHS	Nx16100f 260601
BJIS	Nz16100x 360801
BJV	Yamada Green Resources Limited
BJZ	Koda Ltd
BKA	Sin Heng Heavy Machinery Ltd
BKK	Luxking Group Holdings Limited
BKV	Dukang Distillers Hldgs Ltd
BKW	Datapulse Technology Limited
BKX	Yongmao Holdings Limited
BKZ	Suntar Eco-city Limited
BLA	Union Steel Holdings Limited
BLH	Hai Leck Holdings Limited
BLR	Darco Water Technologies Ltd
BLS	Hotung Investment Hldgs Ltd
BLU	Grp Ltd
